year,africa,americas,asia,europe,oceania,population,africaPerc,americasPerc,asiaPerc,europePerc,oceaniaPerc,globalPerc
1950,227776419.00,335791493.00,1368075411.00,548867469.00,12582041.00,2493092833.00,0.091362991,0.134688724,0.548746277,0.220155247,0.005046760,1
1951,232556971.00,342809280.00,1394810949.00,553834803.00,12915026.00,2536927029.00,0.091668766,0.135127765,0.549803338,0.218309315,0.005090815,1
1952,237539544.00,350086865.00,1424440987.00,558789986.00,13228957.00,2584086339.00,0.091923997,0.135478006,0.551235834,0.216242769,0.005119394,1
1953,242685066.00,357599607.00,1456150768.00,564143731.00,13527050.00,2634106222.00,0.092131845,0.135757474,0.552806396,0.214168938,0.005135347,1
1954,248005818.00,365377092.00,1488943455.00,569744202.00,13824307.00,2685894874.00,0.092336383,0.136035515,0.554356565,0.212124535,0.005147002,1
1955,253537850.00,373407277.00,1523680044.00,575443526.00,14145100.00,2740213797.00,0.092524843,0.136269395,0.556044220,0.209999500,0.005162042,1
1956,259271439.00,381692163.00,1558805650.00,581156297.00,14484448.00,2795409997.00,0.092748985,0.136542462,0.557630420,0.207896623,0.005181511,1
1957,265128663.00,390249080.00,1595227779.00,587187573.00,14825230.00,2852618325.00,0.092942214,0.136803819,0.559215288,0.205841619,0.005197060,1
1958,271041739.00,398992349.00,1632429840.00,593619871.00,15165875.00,2911249674.00,0.093101509,0.137051917,0.560731652,0.203905517,0.005209404,1
1959,277271607.00,408077037.00,1665271765.00,599820048.00,15509891.00,2965950348.00,0.093484912,0.137587279,0.561463130,0.202235364,0.005229316,1
1960,283921952.00,417520522.00,1692348915.00,605817189.00,15862304.00,3015470882.00,0.094155097,0.138459477,0.561222105,0.200903014,0.005260307,1
1961,290813750.00,427225741.00,1718751809.00,611861858.00,16216514.00,3064869672.00,0.094886172,0.139394423,0.560791157,0.199637154,0.005291094,1
1962,297959631.00,437118235.00,1753920101.00,617815761.00,16560587.00,3123374315.00,0.095396709,0.139950640,0.561546560,0.197803945,0.005302146,1
1963,305371042.00,447027460.00,1799912159.00,623592899.00,16904250.00,3192807810.00,0.095643415,0.140010764,0.563739588,0.195311756,0.005294478,1
1964,313060398.00,456963601.00,1848054069.00,629154959.00,17254315.00,3264487342.00,0.095898794,0.139980203,0.566108511,0.192727033,0.005285459,1
1965,321013250.00,466843178.00,1894647591.00,634412816.00,17616872.00,3334533707.00,0.096269307,0.140002537,0.568189665,0.190255332,0.005283159,1
1966,329251993.00,476580531.00,1940809582.00,639413303.00,17985711.00,3404041120.00,0.096723859,0.140004340,0.570148689,0.187839477,0.005283635,1
1967,337850713.00,486190006.00,1986937252.00,644103047.00,18331859.00,3473412877.00,0.097267651,0.139974723,0.572041771,0.185438089,0.005277766,1
1968,346800643.00,495698218.00,2035404656.00,648613871.00,18669865.00,3545187253.00,0.097822941,0.139822859,0.574131777,0.182956167,0.005266256,1
1969,356032260.00,505217478.00,2086069569.00,653138813.00,19033436.00,3619491556.00,0.098365269,0.139582444,0.576343262,0.180450431,0.005258594,1
1970,365551874.00,515080522.00,2137559048.00,656998550.00,19493815.00,3694683809.00,0.098939962,0.139411259,0.578549927,0.177822673,0.005276180,1
1971,375326099.00,525203246.00,2188326576.00,660956210.00,20035734.00,3769847865.00,0.099560012,0.139316828,0.580481403,0.175327025,0.005314733,1
1972,385311883.00,535104027.00,2238486523.00,665521464.00,20493793.00,3844917690.00,0.100213298,0.139171777,0.582193613,0.173091212,0.005330099,1
1973,395821648.00,544799459.00,2289518342.00,669799765.00,20865841.00,3920805055.00,0.100954177,0.138950917,0.583940877,0.170832203,0.005321826,1
1974,406869977.00,554515598.00,2340061189.00,673741422.00,21227902.00,3996416088.00,0.101808713,0.138753219,0.585539928,0.168586405,0.005311735,1
1975,418433160.00,564296858.00,2389170024.00,677279664.00,21555564.00,4070735270.00,0.102790560,0.138622834,0.586913632,0.166377723,0.005295251,1
1976,430496629.00,574121361.00,2437129378.00,680656878.00,21842132.00,4144246378.00,0.103878146,0.138534563,0.588075408,0.164241412,0.005270471,1
1977,442660133.00,584093311.00,2484896158.00,684099950.00,22114263.00,4217863815.00,0.104948892,0.138480837,0.589136176,0.162191095,0.005243001,1
1978,455538925.00,594231922.00,2532509773.00,687433738.00,22383131.00,4292097489.00,0.106134338,0.138447909,0.590040133,0.160162657,0.005214963,1
